Location name,Amount spent (USD)
Alabama,4961
Alaska,1354
Arizona,10014
Arkansas,3144
California,44350
Colorado,7031
Connecticut,4653
Delaware,1115
Florida,29572
Georgia,13090
Guam,≤100
Hawaii,1385
Idaho,5033
Illinois,20254
Indiana,9374
Iowa,5563
Kansas,3685
Kentucky,5132
Louisiana,6570
Maine,2135
Maryland,11542
Massachusetts,7833
Michigan,22099
Minnesota,9648
Mississippi,3237
Missouri,7483
Montana,1447
Nebraska,2231
Nevada,3042
New Hampshire,2086
New Jersey,10625
New Mexico,2508
New York,32071
North Carolina,13251
North Dakota,1132
Ohio,12669
Oklahoma,6460
Oregon,5743
Pennsylvania,16474
Puerto Rico,≤100
Rhode Island,978
South Carolina,5474
South Dakota,888
Tennessee,7754
Texas,44570
Unknown,≤100
Utah,3953
Vermont,913
Virginia,27367
Washington,11712
"Washington, District of Columbia",9227
West Virginia,2449
Wisconsin,8034
Wyoming,695
