Location name,Amount spent (EGP)
Al Sharqia Governorate,2227
Alexandria Governorate,1806
Aswan Governorate,340
Asyut Governorate,920
Beheira Governorate,1080
Beni Suef Governorate,474
Cairo Governorate,5408
Dakahlia Governorate,2501
Damietta Governorate,536
Faiyum Governorate,581
Gharbia Governorate,1752
Giza Governorate,1715
Ismailia Governorate,729
Kafr el-Sheikh Governorate,934
Luxor Governorate,236
Matrouh Governorate,≤100
Minya Governorate,1189
Monufia Governorate,928
New Valley Governorate,668
North Sinai Governorate,148
Port Said Governorate,327
Qalyubia Governorate,1814
Qena Governorate,624
Red Sea Governorate,200
Sohag Governorate,1004
South Sinai Governorate,≤100
Suez Governorate,220
Unknown,≤100
