Location name,Amount spent (INR)
Andaman and Nicobar Islands,171
Andhra Pradesh,73754
Arunachal Pradesh,1212
Assam,16025
Bihar,34680
Chandigarh,1982
Chhattisgarh,97811
Dadra and Nagar Haveli,1646
Delhi,51594
Goa,3404
Gujarat,62472
Haryana,34942
Himachal Pradesh,10527
Jammu and Kashmir,4862
Jharkhand,14353
Karnataka,48510
Kerala,11290
Lakshadweep,≤100
Madhya Pradesh,126922
Maharashtra,162108
Manipur,146
Meghalaya,750
Mizoram,2412
Nagaland,813
Odisha,12312
Puducherry,693
Punjab region,27415
Rajasthan,134704
Sikkim,1406
Tamil Nadu,40649
Telangana,61910
Tripura,1956
Unknown,≤100
Uttar Pradesh,110091
Uttarakhand,18630
West Bengal,74569
