Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,230
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,395
Montevideo Department,907
Paysandú Department,1843
Rivera Department,253
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,127
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
