Location name,Amount spent (USD)
Azuay Province,2869
Bolívar Province,220
Carchi Province,279
Cañar Province,699
Chimborazo Province,861
Cotopaxi Province,632
El Oro Province,2560
Esmeraldas Province,1274
Galápagos Province,178
Guayas Province,8910
Imbabura Province,1185
Loja Province,1072
Los Ríos Province,1796
Manabí Province,4871
Morona-Santiago Province,323
Napo Province,151
Orellana Province,375
Pastaza Province,385
Pichincha Province,5273
Santa Elena Province,782
Santo Domingo de los Tsáchilas Province,3756
Sucumbíos Province,575
Tungurahua Province,1303
Unknown,≤100
Zamora-Chinchipe Province,221
