Location name,Amount spent (CZK)
Central Bohemian Region,37162
Hradec Králové Region,17027
Karlovy Vary Region,8540
Liberec Region,13606
Moravian-Silesian Region,35833
Olomouc Region,18600
Pardubice Region,15648
Plzeň Region,18235
Prague,67713
South Bohemian Region,19459
South Moravian Region,45451
Unknown,≤100
Vysočina Region,14285
Zlín Region,16682
Ústí nad Labem Region,24055
