Location name,Amount spent (RON)
Alba County,796
Arad County,869
Argeș County,1172
Bacău County,927
Bihor County,1016
Bistrița-Năsăud County,557
Botoșani County,619
Brașov County,1761
Brăila County,562
Bucharest,4700
Buzău County,792
Caraș-Severin County,430
Cluj County,1631
Constanța County,1182
Covasna County,435
Călărași County,371
Dolj County,1086
Dâmbovița County,819
Galați County,861
Giurgiu County,293
Gorj County,856
Harghita County,704
Hunedoara County,795
Ialomița County,290
Iași County,1955
Ilfov County,918
Maramureș County,717
Mehedinți County,384
Mureș County,1150
Neamț County,719
Olt County,474
Prahova County,1140
Satu Mare County,546
Sibiu County,774
Suceava County,1361
Sălaj County,401
Teleorman County,479
Timiș County,1207
Tulcea County,303
Unknown,≤100
Vaslui County,503
Vrancea County,847
Vâlcea County,613
