Location name,Amount spent (PKR)
Azad Kashmir,1183
Balochistan,3257
Federally Administered Tribal Areas,438
Gilgit-Baltistan,1011
Islamabad Capital Territory,1696
Khyber Pakhtunkhwa,13158
Punjab,34261
Sindh,16157
Unknown,≤100
