Location name,Amount spent (TWD)
Changhua,9331
Chiayi,2244
Hsinchu,4891
Hsinchu City,8367
Hualien,3149
Kaohsiung,26574
Keelung City,3466
Kinmen,734
Lienchiang,≤100
Miaoli,4080
Nantou,3623
New Taipei City,43791
Penghu,754
Pingtung,5942
Taichung,31643
Tainan,17115
Taipei,35084
Taitung,2930
Taoyuan City,25504
Unknown,3592
Yilan,3365
Yunlin,5563
