Location name,Amount spent (COP)
Amazonas,571
Antioquia,1449708
Arauca,4787
Atlantico,686684
Bolivar,64542
Boyaca,46338
Caldas,464942
Caqueta,9939
Casanare,38441
Cauca,112665
Cesar,54669
Choco,61381
Cordoba,47503
Cundinamarca,462453
Distrito Especial,783851
Guainia,391
Guaviare,24911
Huila,348544
La Guajira,19359
Magdalena,71649
Meta,347483
Narino,52226
Norte de Santander,224715
Putumayo,39239
Quindio,85375
Risaralda,549176
San Andres y Providencia,21535
Santander,290656
Sucre,107819
Tolima,91044
Unknown,154
Valle del Cauca,2385486
Vaupes,126
Vichada,206
