Location name,Amount spent (COP)
Amazonas,3323
Antioquia,6255806
Arauca,36100
Atlantico,622121
Bolivar,506897
Boyaca,891368
Caldas,812273
Caqueta,310203
Casanare,206879
Cauca,375625
Cesar,254079
Choco,55515
Cordoba,424404
Cundinamarca,1309761
Distrito Especial,6722520
Guainia,10283
Guaviare,83719
Huila,661645
La Guajira,68472
Magdalena,172715
Meta,420100
Narino,193584
Norte de Santander,698138
Putumayo,324428
Quindio,178913
Risaralda,1219253
San Andres y Providencia,43708
Santander,2527509
Sucre,280993
Tolima,734544
Unknown,920
Valle del Cauca,6183200
Vaupes,724
Vichada,2258
