Location name,Amount spent (CAD)
Alberta,5447
British Columbia,8320
Manitoba,8273
New Brunswick,924
Newfoundland and Labrador,1032
Northwest Territories,116
Nova Scotia,1190
Nunavut,≤100
Ontario,30145
Prince Edward Island,152
Quebec,21718
Saskatchewan,1650
Unknown,≤100
Yukon,143
