Location name,Amount spent (PYG)
Alto Paraguay Department,9239
Alto Paraná Department,173210
Amambay Department,2449
Asunción,132226
Boquerón department,3055
Caaguazú Department,32439
Caazapá Department,3154
Canindeyú Department,10503
Central Department,638897
Concepción Department (Paraguay),11349
Cordillera Department,22336
Guairá Department,13920
Itapúa Department,32334
Misiones Department,116089
Paraguarí Department,15307
Presidente Hayes Department,11463
San Pedro Department,12851
Unknown,≤100
Ñeembucú Department,3347
