Location name,Amount spent (IDR)
Aceh,1018690
Bali,2392521
Bangka–Belitung Islands,480599
Banten,3426700
Bengkulu,839922
Central Java,8599073
Central Kalimantan,984640
Central Sulawesi,1147036
East Java,11021941
East Kalimantan,2031740
East Nusa Tenggara,1837095
Gorontalo,858101
Jakarta,7577993
Jambi,1168427
Lampung,1762861
Maluku,728780
North Kalimantan,342489
North Maluku,559879
North Sulawesi,2051611
North Sumatra,5756208
Papua (province),1002880
Riau,2606441
Riau Islands Province,1198223
South Kalimantan,1016210
South Sulawesi,2593028
South Sumatra,2242423
Southeast Sulawesi,940736
Special Region of Yogyakarta,1142995
Unknown,1216
West Java,14946239
West Kalimantan,2114779
West Nusa Tenggara,2029657
West Papua,518628
West Sulawesi,539214
West Sumatra,1945065
