Location name,Amount spent (PLN)
Greater Poland Voivodeship,5958
Kuyavian-Pomeranian Voivodeship,3631
Lesser Poland Voivodeship,5220
Lower Silesian Voivodeship,5143
Lublin Voivodeship,2837
Lubusz Voivodeship,2398
Masovian Voivodeship,9706
Opole Voivodeship,1534
Podkarpackie Voivodeship,2578
Podlaskie Voivodeship,1444
Pomeranian Voivodeship,3922
Silesian Voivodeship,6750
Unknown,≤100
Warmian-Masurian Voivodeship,2153
West Pomeranian Voivodeship,4039
Łódź Voivodeship,5581
Świętokrzyskie Voivodeship,1663
