Location name,Amount spent (EUR)
Alsace,978
Aquitaine,1850
Auvergne,562
Basse-Normandie,644
Bourgogne,834
Bretagne,1580
Centre,1175
Champagne-Ardenne,560
Corse,219
Franche-Comté,490
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,902
Languedoc-Roussillon,1649
Limousin,322
Lorraine,1053
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1730
New Caledonia,≤100
Nord-Pas-de-Calais,1773
Pays de la Loire,1777
Picardie,795
Poitou-Charentes,840
Provence-Alpes-Côte d'Azur,3235
Reunion Island,482
Rhône-Alpes,3579
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,9878
