Location name,Amount spent (USD)
Alabama,7929
Alaska,2641
Arizona,20206
Arkansas,4882
California,75777
Colorado,12070
Connecticut,7908
Delaware,1934
Florida,55791
Georgia,20713
Guam,≤100
Hawaii,2496
Idaho,5341
Illinois,45931
Indiana,19688
Iowa,6935
Kansas,8577
Kentucky,10280
Louisiana,10178
Maine,5776
Maryland,14699
Massachusetts,12753
Michigan,26126
Minnesota,14051
Mississippi,6727
Missouri,13332
Montana,4346
Nebraska,4354
Nevada,7613
New Hampshire,3789
New Jersey,19666
New Mexico,4995
New York,46900
North Carolina,21828
North Dakota,1920
Northern Mariana Islands,≤100
Ohio,24450
Oklahoma,13541
Oregon,9925
Pennsylvania,30080
Puerto Rico,≤100
Rhode Island,1692
South Carolina,9525
South Dakota,1808
Tennessee,14847
Texas,55880
Unknown,≤100
Utah,6237
Vermont,1968
Virgin Islands (U.S.),≤100
Virginia,21902
Washington,15362
"Washington, District of Columbia",6244
West Virginia,4062
Wisconsin,54678
Wyoming,4271
