Location name,Amount spent (RON)
Alba County,1558
Arad County,984
Argeș County,1626
Bacău County,1315
Bihor County,1596
Bistrița-Năsăud County,612
Botoșani County,709
Brașov County,1958
Brăila County,641
Bucharest,6281
Buzău County,837
Caraș-Severin County,614
Cluj County,2477
Constanța County,1692
Covasna County,506
Călărași County,592
Dolj County,1314
Dâmbovița County,992
Galați County,1193
Giurgiu County,1021
Gorj County,751
Harghita County,817
Hunedoara County,1608
Ialomița County,724
Iași County,3791
Ilfov County,1021
Maramureș County,1088
Mehedinți County,569
Mureș County,1663
Neamț County,1009
Olt County,678
Prahova County,1909
Satu Mare County,718
Sibiu County,1092
Suceava County,1313
Sălaj County,452
Teleorman County,497
Timiș County,1917
Tulcea County,378
Unknown,≤100
Vaslui County,646
Vrancea County,652
Vâlcea County,755
