Location name,Amount spent (PKR)
Azad Kashmir,1197
Balochistan,1827
Federally Administered Tribal Areas,326
Gilgit-Baltistan,820
Islamabad Capital Territory,2485
Khyber Pakhtunkhwa,11372
Punjab,45154
Sindh,233911
Unknown,≤100
