Location name,Amount spent (PLN)
Greater Poland Voivodeship,3255
Kuyavian-Pomeranian Voivodeship,1988
Lesser Poland Voivodeship,3556
Lower Silesian Voivodeship,2891
Lublin Voivodeship,1614
Lubusz Voivodeship,799
Masovian Voivodeship,8466
Opole Voivodeship,710
Podkarpackie Voivodeship,1454
Podlaskie Voivodeship,1327
Pomeranian Voivodeship,2571
Silesian Voivodeship,4434
Unknown,≤100
Warmian-Masurian Voivodeship,1303
West Pomeranian Voivodeship,1950
Łódź Voivodeship,2353
Świętokrzyskie Voivodeship,877
