Location name,Amount spent (IDR)
Aceh,814689
Bali,1283983
Bangka–Belitung Islands,309031
Banten,1590942
Bengkulu,604566
Central Java,6076710
Central Kalimantan,786155
Central Sulawesi,947282
East Java,5568220
East Kalimantan,1419183
East Nusa Tenggara,1670410
Gorontalo,434661
Jakarta,3205532
Jambi,962978
Lampung,1403939
Maluku,523038
North Kalimantan,266741
North Maluku,460671
North Sulawesi,1555831
North Sumatra,3171328
Papua (province),576690
Riau,1796802
Riau Islands Province,870220
South Kalimantan,706682
South Sulawesi,2222281
South Sumatra,2084866
Southeast Sulawesi,696656
Special Region of Yogyakarta,718112
Unknown,698
West Java,8883235
West Kalimantan,1292651
West Nusa Tenggara,1279930
West Papua,264845
West Sulawesi,281432
West Sumatra,1033975
