Location name,Amount spent (EUR)
Alsace,939
Aquitaine,1654
Auvergne,515
Basse-Normandie,564
Bourgogne,652
Bretagne,1310
Centre,982
Champagne-Ardenne,547
Corse,220
Franche-Comté,442
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,821
Languedoc-Roussillon,1639
Limousin,285
Lorraine,1036
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1444
New Caledonia,≤100
Nord-Pas-de-Calais,1710
Pays de la Loire,1363
Picardie,773
Poitou-Charentes,799
Provence-Alpes-Côte d'Azur,3834
Reunion Island,≤100
Rhône-Alpes,3036
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,5793
