Location name,Amount spent (ZAR)
Eastern Cape,799
Free State,358
Gauteng,2355
KwaZulu-Natal,1091
Limpopo,505
Mpumalanga,436
North West,298
Northern Cape,122
Unknown,≤100
Western Cape,3388
