Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
421574011322217,Alcaldía del Distrito Central,Alcaldía del Distrito Central,8804,13
703368406666619,Vox Populi HN,Vox Populi HN,2370,2
114601521910,Jorge Aldana,Jorge  Aldana,291,1
104599735671754,Goberna Honduras,Goberna Honduras,231,10
486382251906084,Honduras El Pais,Diario El  Pais.hn,180,4
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,160,1
491553204198958,Revistazo.com,Revistazo.com,≤100,2
292129440851133,CropLife Latin America,These ads ran without a disclaimer,≤100,2
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
120460525135389,Educational Partners International,These ads ran without a disclaimer,≤100,1
102153471654987,La vida en una historia.,These ads ran without a disclaimer,≤100,1
563065237146155,Latindadd,These ads ran without a disclaimer,≤100,1
189232005248268,CTG,These ads ran without a disclaimer,≤100,1
1726517690956007,CLAL.it Agrifood,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
