Location name,Amount spent (PYG)
Alto Paraguay Department,387
Alto Paraná Department,203851
Amambay Department,8399
Asunción,179550
Boquerón department,1024
Caaguazú Department,30340
Caazapá Department,1720
Canindeyú Department,9748
Central Department,793083
Concepción Department (Paraguay),11917
Cordillera Department,18889
Guairá Department,14410
Itapúa Department,25835
Misiones Department,101671
Paraguarí Department,9734
Presidente Hayes Department,8795
San Pedro Department,9728
Unknown,≤100
Ñeembucú Department,2124
