Location name,Amount spent (SAR)
'Asir Region,239
Al Bahah Region,≤100
Al Jawf Region,≤100
Al Madinah Region,453
Al-Qassim Province,299
Eastern Province,1933
Ha'il Region,117
Jizan Region,143
Makkah Region,2587
Najran Region,≤100
Northern Borders Region,≤100
Riyadh Region,3002
Tabuk Region,178
Unknown,≤100
