Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,4059,21
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,384,3
102337244995366,Prudencia Uruguay,Santiago Raffo Arias,184,2
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,144,1
102652064888705,REDUY.net,REDUY,142,1
1496397947313142,Edil Diego Guevara,Diego Enmanuel Guevara Crosi,105,1
605540860101596,Diario Criollo,Diario Criollo,≤100,1
368757963825913,WasteFuel,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
104876291932729,El Enamorado,These ads ran without a disclaimer,≤100,1
202225953152762,Yomeanimo,These ads ran without a disclaimer,≤100,1
292129440851133,CropLife Latin America,These ads ran without a disclaimer,≤100,1
633246560165629,Fujifilm Global,These ads ran without a disclaimer,≤100,1
109644193984042,Life Exact,These ads ran without a disclaimer,≤100,1
1215954961915796,RumiNews España,These ads ran without a disclaimer,≤100,1
114797118561022,Breda University of Applied Sciences,These ads ran without a disclaimer,≤100,2
373642999504391,Algareplena,These ads ran without a disclaimer,≤100,2
1952938905035783,Dialektika,These ads ran without a disclaimer,≤100,1
149940008355432,CRV International,These ads ran without a disclaimer,≤100,1
240247849365430,Schindler,These ads ran without a disclaimer,≤100,1
106172784661850,ecoguilty,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,1
208338536239798,This Is Beijing,These ads ran without a disclaimer,≤100,1
1991495041106641,Teaching English with Cambridge,These ads ran without a disclaimer,≤100,1
