Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,6169,107
119271104477423,Save Your Local Pharmacy,The Pharmacy Guild of Australia,4877,47
102329728050606,Yes23,Yes23,3970,53
334563333634959,Australian Government Department of Education,Australian Government Department of Education,2759,7
927439480613235,Minerals Council of Australia,Minerals Council of Australia,2665,3
10113538711,WWF-Australia,WWF-Australia,1937,28
160054227468,World Vision Australia,World Vision Australia,1349,13
1776727752614025,Glencore,Glencore Australia,1063,13
104180525925926,Fair Australia,Advance Australia,899,53
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,793,2
89794331215,Oxfam,Oxfam Australia,765,57
105140971475089,Chuffed.org - Australia,Chuffed.org,755,4
92824008332,Plan International Australia,Plan International Australia,717,17
308746806571901,Advance Australia,Advance Australia,713,15
172094012830551,Australian Paralympic Team,Paralympics Australia,711,26
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,705,12
184543928960,National Party of Australia,National Party of Australia,703,2
231341250224498,Australian Ethical Investment,Australian Ethical Investment,570,20
113998151684022,Referendum News,Advance Australia,558,16
447447719391089,Health Care Providers Association,Health Care Providers Association,506,9
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,501,25
182564410468,Australia for UNHCR,Australia for UNHCR,495,33
694832627392516,Prime Super,Prime Super,475,20
471390022952217,APPEA - Our Natural Advantage,APPEA,450,46
125812604095801,Invasive Species Council,Invasive Species Council,442,49
101791315693,Destiny Rescue,Destiny Rescue,435,6
108287892602643,CFMEU - Construction & General,CFMEU - Construction & General,362,6
352953834815624,Jason Wood MP,Jason Wood MP,343,5
8422338499,The Wilderness Society,The Wilderness Society,325,40
105348385388237,Senator Babet,Senator Babet,302,10
10852627380,World Animal Protection Australia,World Animal Protection Australia,292,30
134712696593275,Dan Andrews,Daniel Andrews MP,287,3
101921012445815,Nicole Werner - Liberal for Warrandyte,Liberal Party of Victoria,281,3
807837652658918,Joust,These ads ran without a disclaimer,255,1
108695110952294,Greens MPs,Greens MPs,243,8
1445863699024135,Business Council of Australia,Business Council of Australia,242,10
100162559396,The Australia Institute,The Australia Institute,237,4
114071581968095,Liptember,Liptember,224,57
154796877889890,The Hospital Research Foundation Group,The Hospital Research Foundation Group,223,17
206540052690401,Jean Hailes for Women's Health,Jean Hailes for Women's Health,223,14
200819325600,ActionAid Australia,ActionAid Australia,221,28
191414167860517,David Littleproud MP,David Littleproud MP,217,3
461218903956271,Sperm Donors Australia,Sperm Donors Australia,210,16
100385049145414,Allegra Spender,Allegra Spender MP,194,10
107939487783753,Garth Hamilton MP,Garth Hamilton MP,189,12
59024478936,Monash University,Monash University,187,14
101594851651707,The Affordable Housing Party,The Affordable Housing Party,185,1
117058357932949,Constitutional Equality,Constitutional Equality,183,7
144975872321975,Market Forces,Market Forces,175,9
36002998891,City of Sydney,City of Sydney,175,3
112129948486119,National Poll,Curious Minds Media Pty Ltd,173,3
150043381805210,SSI - Settlement Services International,SSI - Settlement Services International,167,1
272757739102,Engineers Australia,Engineers Australia,166,4
106791108597531,Future of Local Government Review - Tasmanian Government,Department of Premier and Cabinet,165,12
118601381509264,Public Transport Victoria,Public Transport Victoria,164,1
108234409351973,Sabella,These ads ran without a disclaimer,152,2
523586527672529,Annastacia Palaszczuk MP,Annastacia Palaszczuk MP,143,6
100967115751672,Marinus Link,Marinus Link Pty Ltd,140,8
22746335927,Bob Brown Foundation,Bob Brown Foundation,139,51
329777267205680,ACT Government,ACT Government,137,10
101791443183,Melbourne Water,Melbourne Water,134,1
280996218747910,Tim Richardson,Tim Richardson,133,10
100356216050100,Family First Party Australia,Family First Party Australia Ltd,131,11
80836222708,Brisbane City Council,Brisbane City Council,129,6
328245481103110,Senator Alex Antic,Alex Antic,128,8
362805317148988,Keith Pitt,Keith Pitt,128,2
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),127,29
107765634022348,Henry Pike MP,Henry Pike MP,121,7
311979432274842,The Saturday Paper,The Saturday Paper,118,2
325083185784,Minus18,Minus18,115,21
1300759363397798,Terry Young MP,Terry Young MP,114,2
162107547181406,LNP - Liberal National Party,Liberal National Party of Queensland,112,28
108709611683555,Maya Tesa - Warrandyte Independent,Maya Tesa - Libertarian Advocate,111,2
102855086208434,BREH,Athena,109,12
504855933190931,Time for Change - Change Aged Care,United Workers Union,108,25
149648047339,Save the Children Australia,Save the Children Australia,105,15
105084998845350,BPH Energy,BPH ENERGY LTD,103,66
136441724510,Humane Society International Australia,Humane Society International Australia,103,6
329982603721746,Mathew Dickerson,Mathew Dickerson,101,1
21145917717,Powerhouse Museum,These ads ran without a disclaimer,≤100,1
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,≤100,17
1513078735604544,Dept of Communities and Justice NSW - safer together,Department of Communities and Justice,≤100,2
726565307466774,Peta Murphy MP Federal Member for Dunkley,Peta Murphy MP Federal Member for Dunkley,≤100,7
674461215912270,Australian Progressives,Australian Progressives,≤100,1
181578525342930,Master Builders Australia,Master Builders Australia,≤100,9
105187691260140,"Pharmacy Guild of Australia, QLD","Pharmacy Guild of Australia, QLD",≤100,4
316480331783930,Australian Unions,Australian Unions,≤100,57
157812980921536,Environmental Defenders Office,Environmental Defenders Office,≤100,23
