Location name,Amount spent (COP)
Amazonas,4377
Antioquia,3556130
Arauca,57764
Atlantico,569412
Bolivar,312104
Boyaca,196443
Caldas,230520
Caqueta,97769
Casanare,91762
Cauca,406976
Cesar,173174
Choco,43136
Cordoba,207621
Cundinamarca,556915
Distrito Especial,1680353
Guainia,1798
Guaviare,12340
Huila,263819
La Guajira,82210
Magdalena,252198
Meta,340558
Narino,216512
Norte de Santander,264781
Putumayo,50870
Quindio,154801
Risaralda,857110
San Andres y Providencia,11895
Santander,417630
Sucre,115586
Tolima,392179
Unknown,189
Valle del Cauca,2619282
Vaupes,1550
Vichada,1836
