Location name,Amount spent (THB)
Amnat Charoen,950
Ang Thong,772
Ayutthaya,2837
Bangkok,129012
Bueng Kan,562
Buriram,1736
Chachoengsao,3406
Chai Nat,2781
Chaiyaphum,2522
Chanthaburi,3882
Chiang Mai,8604
Chiang Rai,3420
Chon Buri,15148
Chumphon,1488
Kalasin,1458
Kamphaeng Phet,1225
Kanchanaburi,3507
Khon Kaen,6493
Krabi,2433
Lampang,1489
Lamphun,930
Loei,853
Lop Buri,1337
Mae Hong Son,1019
Maha Sarakham,1660
Mukdahan,657
Nakhon Nayok,419
Nakhon Pathom,7339
Nakhon Phanom,4047
Nakhon Ratchasima,7417
Nakhon Sawan,2968
Nakhon Si Thammarat,8643
Nan,573
Narathiwat,909
Nong Bua Lam Phu,697
Nong Khai,725
Nonthaburi,8813
Pathum Thani,10936
Pattani,1369
Phangnga,882
Phatthalung,1763
Phayao,786
Phetchabun,1070
Phetchaburi,1264
Phichit,1011
Phitsanulok,9137
Phrae,630
Phuket,13081
Prachin Buri,1262
Prachuap Khiri Khan,2069
Ranong,420
Ratchaburi,5759
Rayong,6849
Roi Et,1786
Sa Kaeo,1082
Sakon Nakhon,1919
Samut Prakan,8326
Samut Sakhon,5638
Samut Songkhram,3515
Saraburi,1938
Satun,881
Sing Buri,657
Sisaket,1544
Songkhla,12174
Sukhothai,1351
Suphan Buri,2402
Surat Thani,35811
Surin,1632
Tak,625
Trang,3722
Trat,1578
Ubon Ratchathani,2545
Udon Thani,2483
Unknown,≤100
Uthai Thani,674
Uttaradit,617
Yala Province,1092
Yasothon,1494
