Location name,Amount spent (LBP)
Beirut Governorate,2647672
Beqaa Governorate,846854
Mount Lebanon Governorate,1717384
Nabatieh Governorate,329614
North Governorate,1421451
South Governorate,563894
Unknown,≤100
