Location name,Amount spent (USD)
Azuay Province,615
Bolívar Province,190
Carchi Province,218
Cañar Province,163
Chimborazo Province,491
Cotopaxi Province,437
El Oro Province,1359
Esmeraldas Province,486
Galápagos Province,≤100
Guayas Province,2540
Imbabura Province,299
Loja Province,628
Los Ríos Province,1041
Manabí Province,1133
Morona-Santiago Province,225
Napo Province,150
Orellana Province,160
Pastaza Province,177
Pichincha Province,1704
Santa Elena Province,231
Santo Domingo de los Tsáchilas Province,276
Sucumbíos Province,133
Tungurahua Province,744
Unknown,≤100
Zamora-Chinchipe Province,169
