Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,965
Bicol Region,4969
Cagayan Valley,3770
Calabarzon,29830
Caraga,1894
Central Luzon,14756
Central Visayas,8830
Cordillera Administrative Region,1529
Davao Region,6394
Eastern Visayas,4082
Ilocos Region,5227
Metro Manila,75705
Mimaropa,3385
Northern Mindanao,3602
Soccsksargen,3279
Unknown,≤100
Western Visayas,11341
Zamboanga Peninsula,2727
