Location name,Amount spent (MXN)
Aguascalientes,10195
Baja California,52519
Baja California Sur,6362
Campeche,26410
Chiapas,25560
Chihuahua,36411
Coahuila de Zaragoza,257729
Colima,11458
Distrito Federal,218775
Durango,16456
Guanajuato,50625
Guerrero,15332
Hidalgo,12618
Jalisco,141129
Michoacán de Ocampo,43859
Morelos,22639
Nayarit,9543
Nuevo León,119524
Oaxaca,32727
Puebla,45313
Querétaro Arteaga,19699
Quintana Roo,104833
San Luis Potosi,24929
Sinaloa,18196
Sonora,37506
State of Mexico,695271
Tabasco,15932
Tamaulipas,37087
Tlaxcala,6500
Unknown,≤100
Veracruz,46609
Yucatán,46251
Zacatecas,8955
