Location name,Amount spent (MXN)
Aguascalientes,7464
Baja California,34615
Baja California Sur,9224
Campeche,20874
Chiapas,17710
Chihuahua,39495
Coahuila de Zaragoza,253237
Colima,5564
Distrito Federal,142106
Durango,11317
Guanajuato,38837
Guerrero,13259
Hidalgo,11573
Jalisco,160177
Michoacán de Ocampo,50457
Morelos,22853
Nayarit,8407
Nuevo León,63780
Oaxaca,24323
Puebla,34048
Querétaro Arteaga,21010
Quintana Roo,65052
San Luis Potosi,18351
Sinaloa,13606
Sonora,21399
State of Mexico,310019
Tabasco,8695
Tamaulipas,28825
Tlaxcala,3731
Unknown,≤100
Veracruz,33097
Yucatán,25907
Zacatecas,7946
