Location name,Amount spent (THB)
Amnat Charoen,4996
Ang Thong,3491
Ayutthaya,15555
Bangkok,497516
Bueng Kan,4353
Buriram,15878
Chachoengsao,11681
Chai Nat,3760
Chaiyaphum,11077
Chanthaburi,14577
Chiang Mai,37109
Chiang Rai,19940
Chon Buri,62062
Chumphon,13106
Kalasin,8829
Kamphaeng Phet,6111
Kanchanaburi,36855
Khon Kaen,42080
Krabi,12527
Lampang,34979
Lamphun,7061
Loei,6982
Lop Buri,11098
Mae Hong Son,7648
Maha Sarakham,10930
Mukdahan,4623
Nakhon Nayok,9575
Nakhon Pathom,17699
Nakhon Phanom,8035
Nakhon Ratchasima,47165
Nakhon Sawan,9839
Nakhon Si Thammarat,37412
Nan,3495
Narathiwat,7099
Nong Bua Lam Phu,5599
Nong Khai,6546
Nonthaburi,24012
Pathum Thani,27634
Pattani,9205
Phangnga,3884
Phatthalung,13690
Phayao,7545
Phetchabun,11294
Phetchaburi,8345
Phichit,6675
Phitsanulok,31037
Phrae,4288
Phuket,44144
Prachin Buri,7988
Prachuap Khiri Khan,8596
Ranong,3107
Ratchaburi,17882
Rayong,23008
Roi Et,12843
Sa Kaeo,6498
Sakon Nakhon,13052
Samut Prakan,36223
Samut Sakhon,19257
Samut Songkhram,5803
Saraburi,12830
Satun,4235
Sing Buri,2548
Sisaket,11224
Songkhla,48988
Sukhothai,7514
Suphan Buri,12362
Surat Thani,36243
Surin,14182
Tak,7846
Trang,18394
Trat,5129
Ubon Ratchathani,21496
Udon Thani,16795
Unknown,147
Uthai Thani,2711
Uttaradit,3935
Yala Province,6848
Yasothon,8188
