Location name,Amount spent (CAD)
Alberta,13263
British Columbia,5481
Manitoba,3391
New Brunswick,1636
Newfoundland and Labrador,938
Northwest Territories,140
Nova Scotia,1190
Nunavut,≤100
Ontario,18672
Prince Edward Island,1243
Quebec,11617
Saskatchewan,2319
Unknown,≤100
Yukon,≤100
