Location name,Amount spent (ZAR)
Eastern Cape,926
Free State,795
Gauteng,5137
KwaZulu-Natal,1753
Limpopo,648
Mpumalanga,614
North West,474
Northern Cape,208
Unknown,≤100
Western Cape,10491
