Location name,Amount spent (CZK)
Central Bohemian Region,8896
Hradec Králové Region,3445
Karlovy Vary Region,1922
Liberec Region,2886
Moravian-Silesian Region,8153
Olomouc Region,4355
Pardubice Region,3238
Plzeň Region,4012
Prague,16777
South Bohemian Region,3733
South Moravian Region,9309
Unknown,≤100
Vysočina Region,3008
Zlín Region,3565
Ústí nad Labem Region,6205
