Location name,Amount spent (INR)
Andaman and Nicobar Islands,578
Andhra Pradesh,57752
Arunachal Pradesh,4574
Assam,13455
Bihar,46610
Chandigarh,2838
Chhattisgarh,19312
Dadra and Nagar Haveli,962
Delhi,54876
Goa,10523
Gujarat,51904
Haryana,44114
Himachal Pradesh,12625
Jammu and Kashmir,9534
Jharkhand,13632
Karnataka,324427
Kerala,14566
Lakshadweep,≤100
Madhya Pradesh,77019
Maharashtra,171402
Manipur,2089
Meghalaya,1392
Mizoram,460
Nagaland,1257
Odisha,13802
Puducherry,1203
Punjab region,33200
Rajasthan,121752
Sikkim,608
Tamil Nadu,35020
Telangana,63787
Tripura,2495
Unknown,≤100
Uttar Pradesh,104094
Uttarakhand,11323
West Bengal,35772
