Location name,Amount spent (CHF)
Aargau,177
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,136
Basel-Landschaft,≤100
Bern,415
Canton of Geneva,2184
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,709
Fribourg,126
Graubünden,≤100
Jura,≤100
Luzern,1622
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,123
Ticino,1071
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,235
Zug,≤100
Zürich,504
