Location name,Amount spent (PKR)
Azad Kashmir,952
Balochistan,1661
Federally Administered Tribal Areas,448
Gilgit-Baltistan,618
Islamabad Capital Territory,12822
Khyber Pakhtunkhwa,7654
Punjab,23944
Sindh,9072
