Location name,Amount spent (CLP)
Antofagasta Region,52206
Araucanía Region,88684
Arica y Parinacota Region,20969
Atacama Region,32988
Aysén Region,13676
Bío Bío Region,178248
Coquimbo Region,100240
Los Lagos Region,64589
Los Ríos Region,29588
Magallanes y la Antártica Chilena Region,14712
Maule Region,69931
O'Higgins Region,63122
Santiago Metropolitan Region,730043
Tarapacá Region,28488
Unknown,≤100
Valparaíso Region,148336
