Location name,Amount spent (CZK)
Central Bohemian Region,12827
Hradec Králové Region,5323
Karlovy Vary Region,2694
Liberec Region,4319
Moravian-Silesian Region,11387
Olomouc Region,6115
Pardubice Region,4929
Plzeň Region,5885
Prague,27787
South Bohemian Region,6113
South Moravian Region,14372
Unknown,≤100
Vysočina Region,4529
Zlín Region,5404
Ústí nad Labem Region,8449
