Location name,Amount spent (CAD)
Alberta,4012
British Columbia,5389
Manitoba,1678
New Brunswick,671
Newfoundland and Labrador,228
Northwest Territories,≤100
Nova Scotia,787
Nunavut,≤100
Ontario,9585
Prince Edward Island,≤100
Quebec,4662
Saskatchewan,834
Unknown,≤100
Yukon,147
