Location name,Amount spent (BRL)
Acre (state),628
Alagoas,3827
Amapá,1266
Amazonas,5191
Bahia,17471
Ceará,12416
Espírito Santo,3309
Federal District,4095
Goiás,15115
Maranhão,8434
Mato Grosso,6862
Mato Grosso do Sul,6599
Minas Gerais,23899
Paraná,9379
Paraíba,5800
Pará,11896
Pernambuco,12406
Piauí,4158
Rio Grande do Norte,5205
Rio Grande do Sul,16042
Rio de Janeiro (state),15942
Rondônia,1775
Roraima,1745
Santa Catarina,8397
Sergipe,5092
São Paulo (state),50041
Tocantins,3791
Unknown,≤100
