Location name,Amount spent (USD)
Azuay Province,5375
Bolívar Province,266
Carchi Province,280
Cañar Province,897
Chimborazo Province,1117
Cotopaxi Province,1222
El Oro Province,4735
Esmeraldas Province,1488
Galápagos Province,232
Guayas Province,11984
Imbabura Province,1547
Loja Province,1138
Los Ríos Province,3552
Manabí Province,6224
Morona-Santiago Province,306
Napo Province,170
Orellana Province,605
Pastaza Province,386
Pichincha Province,9393
Santa Elena Province,1182
Santo Domingo de los Tsáchilas Province,2511
Sucumbíos Province,1051
Tungurahua Province,1389
Unknown,≤100
Zamora-Chinchipe Province,205
