Location name,Amount spent (NIO)
Boaco Department,≤100
Carazo Department,≤100
Chinandega Department,≤100
Chontales Department,≤100
Estelí Department,≤100
Granada Department,≤100
Jinotega Department,≤100
León Department,≤100
Madriz Department,≤100
Managua Department,270
Masaya Department,≤100
Matagalpa Department,≤100
Nueva Segovia Department,≤100
Región Autónoma del Atlántico Norte,≤100
Región Autónoma del Atlántico Sur,≤100
Rivas Department,≤100
Río San Juan Department,≤100
