Location name,Amount spent (TRY)
Adana Province,626
Adıyaman Province,≤100
Afyonkarahisar Province,107
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1527
Antalya Province,762
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,452
Ağrı Province,≤100
Balıkesir Province,448
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,817
Denizli Province,298
Diyarbakır Province,154
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,281
Gaziantep Province,376
Giresun Province,101
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,365
Isparta Province,122
Istanbul Province,5240
Iğdır Province,≤100
Kahramanmaraş Province,170
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,378
Kilis Province,≤100
Kocaeli Province,208
Konya Province,544
Kütahya Province,106
Kırklareli Province,≤100
Kırıkkale Province,345
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,672
Mardin Province,≤100
Mersin Province,632
Muğla Province,336
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,148
Osmaniye Province,124
Rize Province,165
Sakarya Province,106
Samsun Province,1017
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,301
Tokat Province,≤100
Trabzon Province,155
Tunceli Province,≤100
Unknown,≤100
Uşak Province,126
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,101
Çanakkale Province,220
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,2404
Şanlıurfa Province,419
Şırnak Province,≤100
