Location name,Amount spent (CHF)
Aargau,184
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,127
Basel-Landschaft,≤100
Bern,324
Canton of Geneva,530
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,162
Fribourg,117
Graubünden,≤100
Jura,≤100
Luzern,103
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,206
Unknown,≤100
Uri,≤100
Valais,110
Vaud,329
Zug,≤100
Zürich,2542
