Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
600979883334883,Hon. Zaheer Jhanda Mp Nyaribari Chache,Hon. Zaheer Jhanda Mp Nyaribari Chache,9829,2
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,1240,1
110408975208360,Talking about matters,Well Made Strategy LLP,1127,8
823788047675556,Call of War,These ads ran without a disclaimer,537,2
181477995294794,SYSPRO Global,These ads ran without a disclaimer,510,3
515012855207241,Hon. Eng. Vincent Musyoka Musau Kawaya,Musa Vincent Musyoka,510,1
344924819231181,"Hon. Rahab Mukami, Nyeri County Women Rep",Rahab Mukami Wachira,213,1
105833652399018,Maina Karobia,Mwangi Godfrey Maina,186,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,134,1
7268844551,Rotary International,These ads ran without a disclaimer,127,1
1692208237695305,Button Badges,George Kingori Warui,121,1
100321965888531,Mrembo na Kazi,Samuel Mwangi,110,1
211454462257570,International Hockey Federation (FIH),These ads ran without a disclaimer,≤100,2
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,≤100,1
106813207597143,Rahmina Paullete,These ads ran without a disclaimer,≤100,1
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,1
104305868562887,Skyzii,These ads ran without a disclaimer,≤100,1
103408652150397,Hon. Mohamed Soud Machele,Ibrahim Aziz Omar,≤100,2
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,7
101105049294796,CNN Business Arabic الاقتصادية CNN,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
102458909040981,CSCEC in Central and West Africa,These ads ran without a disclaimer,≤100,1
427747764026807,ShanghaiEye,These ads ran without a disclaimer,≤100,2
109585481566275,teawithmstanzania,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
106024940812657,Djembe Consultants,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,4
106386158767588,DOPE Quick Reads,These ads ran without a disclaimer,≤100,2
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
1909154786072245,Verkada,These ads ran without a disclaimer,≤100,1
351671375760473,The GCCA,These ads ran without a disclaimer,≤100,1
