Location name,Amount spent (PEN)
Amazonas Region,192
Ancash Region,811
Apurímac Region,320
Arequipa Region,1267
Ayacucho Region,542
Cajamarca Region,819
Callao,384
Cusco Region,999
Huancavelica Region,151
Huánuco Region,476
Ica Region,729
Junín Region,929
La Libertad Region,1335
Lambayeque Region,872
Lima Region,6967
Loreto Region,562
Madre de Dios Region,224
Moquegua Region,179
Pasco Region,188
Piura Region,1256
Puno Region,1061
San Martín Region,600
Tacna Region,336
Tumbes Region,199
Ucayali Region,447
Unknown,≤100
