Location name,Amount spent (COP)
Amazonas,21328
Antioquia,14596702
Arauca,207369
Atlantico,1126027
Bolivar,1118804
Boyaca,1457871
Caldas,439319
Caqueta,369333
Casanare,412169
Cauca,474665
Cesar,299340
Choco,117608
Cordoba,2512059
Cundinamarca,1080054
Distrito Especial,5761573
Guainia,8015
Guaviare,13611
Huila,648482
La Guajira,154063
Magdalena,234764
Meta,423491
Narino,270579
Norte de Santander,2198032
Putumayo,371653
Quindio,305281
Risaralda,1372674
San Andres y Providencia,21652
Santander,3191548
Sucre,394538
Tolima,728031
Unknown,969
Valle del Cauca,3774425
Vaupes,622
Vichada,6504
