Location name,Amount spent (EUR)
Alsace,830
Aquitaine,1522
Auvergne,441
Basse-Normandie,532
Bourgogne,592
Bretagne,1299
Centre,986
Champagne-Ardenne,470
Corse,162
Franche-Comté,387
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,750
Languedoc-Roussillon,1424
Limousin,250
Lorraine,956
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1234
New Caledonia,≤100
Nord-Pas-de-Calais,1694
Pays de la Loire,1662
Picardie,692
Poitou-Charentes,679
Provence-Alpes-Côte d'Azur,2538
Reunion Island,≤100
Rhône-Alpes,2601
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4928
