Location name,Amount spent (JPY)
Aichi Prefecture,15218
Akita Prefecture,2500
Aomori Prefecture,1777
Chiba Prefecture,15540
Ehime Prefecture,2515
Fukui Prefecture,1904
Fukuoka Prefecture,25148
Fukushima Prefecture,3415
Gifu Prefecture,4055
Gunma Prefecture,4144
Hiroshima Prefecture,6565
Hokkaido,11548
Hyōgo Prefecture,17216
Ibaraki Prefecture,5579
Ishikawa Prefecture,3231
Iwate Prefecture,2301
Kagawa Prefecture,2450
Kagoshima Prefecture,3152
Kanagawa Prefecture,30679
Kumamoto Prefecture,4528
Kyoto Prefecture,8791
Kōchi Prefecture,1519
Mie Prefecture,3382
Miyagi Prefecture,12673
Miyazaki Prefecture,2765
Nagano Prefecture,5267
Nagasaki Prefecture,6148
Nara Prefecture,3109
Niigata Prefecture,4118
Okayama Prefecture,6189
Okinawa Prefecture,7019
Osaka Prefecture,28337
Saga Prefecture,2988
Saitama Prefecture,14805
Shiga Prefecture,3513
Shimane Prefecture,2752
Shizuoka Prefecture,9677
Tochigi Prefecture,3978
Tokushima Prefecture,1912
Tokyo,75471
Tottori Prefecture,882
Toyama Prefecture,2250
Unknown,140
Wakayama Prefecture,1944
Yamagata Prefecture,2086
Yamaguchi Prefecture,4247
Yamanashi Prefecture,1911
Ōita Prefecture,4618
