Location name,Amount spent (HUF)
Baranya County,74088
Borsod-Abaúj-Zemplén County,122949
Budapest,505125
Bács-Kiskun County,100007
Békés County,78000
Csongrád County,89697
Fejér County,84222
Győr-Moson-Sopron County,89895
Hajdú-Bihar County,97946
Heves County,54725
Jász-Nagykun-Szolnok County,76013
Komárom-Esztergom County,61165
Nógrád County,33107
Pest County,216788
Somogy County,56848
Szabolcs-Szatmár-Bereg County,91063
Tolna County,46361
Unknown,≤100
Vas County,64671
Veszprém County,64185
Zala County,56033
