Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
14095969045,Fremskrittspartiet,Fremskrittspartiet,13101,18
20468812735,LO,LO,5616,34
322525743444,Get Inspired,These ads ran without a disclaimer,4356,5
111345183340,Fagforbundet,Fagforbundet,4153,6
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,3481,67
203067569732001,Fellesforbundet,Fellesforbundet,3436,48
135843375926,UNICEF Norge,UNICEF Norge,2950,21
171540532874418,Arbeiderpartiet i Bergen,Arbeiderpartiet i Bergen,2929,18
275389322558295,LOs sommerpatrulje,LO,2013,7
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,2009,23
10953652930,Høyre,Høyre,1603,45
371106536283235,DAG OG TID,Dag og Tid AS,1484,6
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,1356,43
151608890040,Innlandet FrP,Innlandet FrP,1131,3
102264419459588,Akershus Høyre,Akershus Høyre,1112,2
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,1066,2
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,992,1
198748346812235,Drammen Venstre,Drammen Venstre,940,19
298357179829,Trondheim Arbeiderparti,Trondheim Arbeiderparti,903,9
110628757129572,LO Vestfold og Telemark,LO,761,8
781470095268908,Skien Venstre,Skien Venstre,726,5
11526489541,Senterpartiet,Senterpartiet,723,1
173437119340296,Akershus Arbeiderparti,Akershus Arbeiderparti,706,6
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,685,1
156545564365962,Stavanger Arbeiderparti,Stavanger Arbeiderparti,663,3
239677012734267,Fredrikstad Høyre,Fredrikstad Høyre,651,3
132368899297,Framtiden i våre hender,Framtiden i våre hender,603,3
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,565,1
144754334087,Trøndelag Arbeiderparti,Trøndelag Arbeiderparti,561,22
131631106897687,Øygarden FrP,Øygarden FrP,534,19
101815422763212,Emil Raaen - Ordførerkandidat Ap,Trondheim Arbeiderparti,524,2
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,510,11
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,483,6
57542291449,FFO - Funksjonshemmedes fellesorganisasjon,Funksjonshemmedes Fellesorganisasjon (FFO),466,2
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,465,5
186077731431314,Arendal Venstre,Arendal Venstre,426,6
170653772985183,Bergen MDG,Miljøpartiet De Grønne Bergen,415,1
100970626156019,Kent Ranum - Ordførerkandidat Høyre,Kent Ranum - Ordførerkandidat Høyre,412,5
