Location name,Amount spent (RON)
Alba County,201
Arad County,403
Argeș County,294
Bacău County,706
Bihor County,353
Bistrița-Năsăud County,204
Botoșani County,341
Brașov County,695
Brăila County,189
Bucharest,1994
Buzău County,220
Caraș-Severin County,173
Cluj County,600
Constanța County,608
Covasna County,195
Călărași County,115
Dolj County,592
Dâmbovița County,280
Galați County,426
Giurgiu County,113
Gorj County,213
Harghita County,375
Hunedoara County,515
Ialomița County,156
Iași County,793
Ilfov County,279
Maramureș County,436
Mehedinți County,137
Mureș County,568
Neamț County,471
Olt County,163
Prahova County,795
Satu Mare County,289
Sibiu County,234
Suceava County,377
Sălaj County,249
Teleorman County,162
Timiș County,471
Tulcea County,170
Unknown,≤100
Vaslui County,262
Vrancea County,393
Vâlcea County,267
