Location name,Amount spent (MXN)
Aguascalientes,11124
Baja California,36000
Baja California Sur,3811
Campeche,17211
Chiapas,17555
Chihuahua,41745
Coahuila de Zaragoza,199208
Colima,6269
Distrito Federal,190542
Durango,11475
Guanajuato,38387
Guerrero,16190
Hidalgo,12372
Jalisco,142743
Michoacán de Ocampo,39423
Morelos,37209
Nayarit,9772
Nuevo León,90545
Oaxaca,12524
Puebla,44556
Querétaro Arteaga,25559
Quintana Roo,47537
San Luis Potosi,24061
Sinaloa,9476
Sonora,17538
State of Mexico,188282
Tabasco,9221
Tamaulipas,49748
Tlaxcala,7865
Unknown,≤100
Veracruz,32531
Yucatán,25195
Zacatecas,6043
