Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),158684,80
141870402543282,AK Parti,Ak Parti,150761,9
76599755300,Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,107487,67
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,77441,31
877839188967827,Büyük Türkiye,Adem Demirkol,67790,54
1607304669378571,İlk Oy Hareketi,İlk Oy Hareketi,61410,31
176338225842984,Yeşil Sol Parti,Yeşil Sol Parti,61147,35
1160506840785202,Murat Kurum,Murat Kurum,50064,21
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,36042,23
510344522371733,Oy ve Ötesi,Oy ve Ötesi,19241,54
462963834529864,Levent Uysal,Levent Uysal,17019,13
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,16789,18
787833781580301,Kim Kimdir?,Adem Demirkol,15549,60
417251848779475,Mehmet Ersoy,Mehmet Ersoy,14870,32
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,14092,13
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,13737,16
106257739113036,Yudum Kaşıkçı,Yudum Kaşıkçı,12199,30
804210899660885,Ahmet Katar,Ahmet Katar,10811,32
1652655528320877,Emre Yılmaz,Emre Yılmaz,10274,22
217712041637127,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,9296,1
378633122196492,Lutfullah Kayalar,Serhan Kayalar,9167,21
136130166537386,AK Parti Bursa İl Başkanlığı,AK Parti Bursa İl Başkanlığı,8181,4
659591417849852,Biz Muhalefetiz,Adem Demirkol,6751,1
1768709703437324,İYİ Parti Adana İl Başkanlığı,İYİ Parti Adana İl Başkanlığı,6569,3
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,6511,9
106187277979172,Dijital Gaste,Veysel Karahan,6162,3
268544196532365,Saadet Partisi İstanbul İl Başkanlığı,Saadet Partisi İstanbul İl Başkanlığı,6087,4
210993622366044,TVNET,TVNET,6052,3
621229804571861,Fethi Yaşar,Fethi Yaşar,5646,10
113823067080077,DEVA Partisi Sivas İl Teşkilatı,Taha Kutlu Çevik,5636,22
1407759386141852,Ahmet Akın,Ahmet Akın,5615,12
101495115896210,Abdullah Özdemir,Abdullah Özdemir,5523,2
294889615437,Sinan Oğan,Sinan Oğan,5434,3
274475286702,Muharrem İNCE,Muharrem İNCE,5297,9
338192240782851,Davut Gürkan,Davut Gürkan,5241,4
102095934751904,Deva Partisi,Deva Partisi,5163,9
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,5122,6
105724511499805,Yeniden Refah Partisi,Yeniden Refah Partisi,4934,37
273568980163535,Serdar Soydan MHP,Tasarım Medya Reklam,4934,15
500796300357232,Turgay Baştuğ,Milliyetçi Hareket Partisi Ankara İl Başkanlığı,4924,29
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,4917,16
206541136053869,Behçet SAATCI,Behçet Saatcı,4748,4
115213624871864,Bahadır Bumin Özarslan,Halil Ibrahim Yilmaz,4607,35
326363220894548,Nail Çiler,Nail Çiler,4526,16
114597108291949,Haydi..ama nereye?,Abdelrahman Farouk,4525,19
2055232158049015,Dr.Şahin Talus,Dr.Şahin Talus,4181,10
172312959454958,Mustafa Sarıgül,Mustafa Sarıgül,4163,3
209175722605698,Saffet Sancaklı,Saffet Sancaklı,4149,8
719183108201915,Abdullah AKIN,Oktay Aydın,4053,7
851556338241562,Ayşen Kurt,Ayşen Kurt,4000,4
564235557361448,Gönül Adamı,Adem Demirkol,3840,13
528071707564813,Uğurhan Tiryaki,Uğurhan Tiryaki,3833,5
805926876122264,Suat Özçağdaş,Suat Özçağdaş,3456,4
109557384233443,Yüksel Taşkın,Yüksel Taşkın,3405,16
108107585034488,Bahadır Erdem,Bahadır Erdem,3313,9
373938392217,AK PARTİ ANKARA İL BAŞKANLIĞI,AK PARTİ ANKARA İL BAŞKANLIĞI,3303,2
106721105738428,Emin Selim Akgül,Elif Beyza Tekin,3289,1
319726958236378,Turan Yaldır,Turan Yaldır,3154,9
105051945092974,Memleket Partisi,Mustafa Çağlayan,2947,16
674523449330207,Yavuz Aydın,Yavuz Aydin,2939,31
1002521723283648,Ayhan Kınden,Ayhan Kınden,2928,10
111917151872313,Ergün Tekin,Ergün Tekin,2760,8
103141042761034,Ferda Ertürk,Oktay Yuksel,2637,25
101519926236417,Mustafa Akın,Mustafa Akın,2602,17
2281400925408962,Türkiye'ye Sahip Çık,Arda Akın,2548,7
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,2501,15
533617450479963,İdris Naim ŞAHİN,İdris Naim ŞAHİN,2439,6
113851270433840,Türkiye İşçi Partisi-Antalya,Eylem Karaman,2395,5
1998130653848755,Ramazan Kaşlı  MHP Aksaray Milletvekili,Ramazan Kaşlı  MHP Aksaray Milletvekili,2355,30
704507633271313,Bülent Şükrü Altınışık,Batuhan Efe Öner,2303,22
772187612859346,Erkan Haberal,Erkan Haberal,2294,2
921794431315874,Berna SUKAS,Berna Sukas,2216,11
219895681531374,İbrahim Ethem Sedef,Kenan Filik,2163,8
103728271055286,Selçuk Kılıçaslan,Selcuk Kilicaslan,2132,3
196374208371,ALİ KESKİNKILIÇ,Ali Keskinkılıç,2132,10
117838861275362,Fahrettin Tuğrul,Fahrettin Tuğrul,2096,4
1581936098727585,Bilal Uludağ,Bilal Uludağ,2022,1
109839182079683,Yeşil Sol Batman,Yeşil Sol Parti Batman,2005,8
110222395380504,Vedat Necmettin Arslanoğlu,Vedat Necmettin Arslanoğlu,2002,3
113488565046764,Av. Arslan Bolat,Av Arslan Bolat,1889,9
104606505943488,Bilal Bilici,Bilal Bilici,1884,5
532775093532626,Yücel Bulut,Yucel Bulut,1872,12
107821532289110,Aziz kalaycı,Ömer Yatkın,1838,7
117369164656197,Mehmet Par,Mehmet Par,1770,4
393451251137056,Pelin Yılık,Tasarım Medya Reklam,1704,15
655349114629011,Av. Ece Güner,Av. Ece Güner,1696,3
598725973543356,CHP Antalya Gençlik Kolları,CHP Antalya Gençlik Kolları,1693,10
101316846258251,İbrahim Şenel,Ibrahim Şenel,1675,19
1807684336017268,Rıdvan Eşin,Gökhan Öztürk,1649,1
392491680944925,Mevlüt Çavuşoğlu,Mevlüt Çavuşoğlu,1639,6
122362084136699,evrimbalbaloglu,Evrim Balbaloglu,1614,1
1622164058014589,Mestan Özcan,OPTİMUM MEDYA VE REKLAM TANITIM HİZMETLERİ A.Ş,1608,20
118016654594649,Seda KÂYA ÖSEN,Seda Kaya Ösen,1585,13
723113807768777,Hasan Eryılmaz,Deniz Guner,1553,8
320343148103104,AK Parti Afyonkarahisar İl Başkanlığı,Oktay Yuksel,1546,6
425757864244456,Süleyman Karaman,Ali Umar,1545,7
103087702499272,Prof. Dr. Mustafa Araz,Prof. Dr. Mustafa Araz,1530,5
320343148103104,AK Parti Afyonkarahisar İl Başkanlığı,These ads ran without a disclaimer,1500,1
286724078913557,Mustafa Varank,Mustafa Varank,1487,1
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,1468,2
118536807883838,Helil İnay Kınay,Helil Kınay,1466,2
100961656309902,Bağımsız Milletvekili Fatih Gür,FATİH GÜR İNŞAAT VE TİC.LTD.ŞTİ,1445,7
146384098769634,Öncü Gençlik,Baris Demiralay,1429,3
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,1422,15
106914705713682,Elvan Işık Gezmiş,Elvan Gezmis,1413,6
608372546191157,Şahin Gürz,Şahin Gürz,1367,23
118519987873082,Nebi Hatipoğlu,Orangefox Agency,1347,6
104205562634100,Hakan Satılmış,Hakan Satılmış,1337,4
1532389387082678,Sarıçam Belediyesi,BİLAL ULUDAĞ,1286,1
153092148868180,Ayşe Sibel Yanıkömeroğlu,Ayşe Sibel Yanıkömeroğlu,1277,5
1507047782923237,MHP Ankara İl Başkanlığı,MHP Ankara İl Başkanlığı,1276,9
106977872374373,İsmail Aybars AKSOY,Aybars Aksoy,1274,7
103751802710612,Sedat Kabay,Emre Yenmiş,1273,20
1474211066185659,Mustafa Hamarat,Mustafa Hamarat,1264,11
928921137187670,ALİ UÇAK,These ads ran without a disclaimer,1243,4
101412155815146,Seracettin Bedirhanoğlu,Seracettin Bedirhanoğlu,1241,6
231970217587294,Hasan Basri Sönmez,Hasan Basri Sönmez,1230,2
203313693133528,samsunanaliz.com,samsunanaliz.com,1197,2
511748452272603,Av. Halil Öztürk,Yahsi Media,1184,4
106433519384639,Haber7,Haber7,1180,5
467398480038872,Dursun ATAŞ İYİ PARTİ Kayseri Milletvekili,Dursun ATAŞ İYİ PARTİ Kayseri Milletvekili,1169,9
928921137187670,ALİ UÇAK,Volkan Erel,1162,2
504901456292964,Tahsin Ocaklı,Tahsin Ocaklı,1155,6
483256081848072,Ayşe Keşir,Ayşe Keşir,1136,2
1424394931135090,AK Parti Samsun İl Başkanlığı,AK Parti Samsun İl Başkanlığı,1135,3
105930572489375,Mehmet Ali Karamemiş Çankırı Milletvekili Adayı,Mehmet Ali Karamemiş,1123,5
112065760445212,Muhammed Aydoğar,Muhammed Aydoğar,1116,2
350156169488363,KADEM METE,KADEM METE,1108,20
115790992165498,Rıdvan UZ - İYİ PARTİ,Ridvan Uz,1095,14
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,1087,5
105915341216004,Mesut Nur,Mesut Nur,1086,4
120114614397446,Kübra Dursun,Sinan Ergül,1084,9
426339260809702,Oğul Aktuna,Oğul Aktuna,1068,1
377634282278139,Büyük Birlik Partisi,Büyük Birlik Partisi Genel Merkezi,1065,8
459374448202949,Doruk BULUT,Doruk Bulut,1026,4
1540559519551922,Saruhan Oluç,Saruhan Oluç,1012,5
111091788630220,Aykut Kaya,Aykut Kaya,987,8
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,987,5
114109568315674,Ozan Bingöl,Ozan Bingöl,987,3
144369108949589,Prof. Dr. Yasemin AÇIK,Prof. Dr. Yasemin AÇIK,987,5
116108505131797,İsmail Erdem,İsmail Erdem,987,6
105797409159485,Sururi Çorabatır,Sururi Çorabatır,987,12
100781266312487,Gülcan Kış,Gülcan Kış,987,22
161063617352762,AK Parti Zonguldak İl Başkanlığı,AK Parti Zonguldak İl Başkanlığı,987,5
1600287556851102,İsmet AKIN,İsmet AKIN,987,1
116905004727285,Mesut Soyfidan,Mesut Soyfidan,987,9
106534895734837,Mehmet Emin Önal,Mehmet Emin Önal,986,6
624904481498449,Naci Şanlıtürk,Naci Şanlıtürk,986,2
114651884945940,Zafer Partisi Aydın 1. Sıra Milletvekili Adayı Seray Ünbay,Sensin Kumcuoğlu,986,2
101605686227473,Hakan Kuşçuoğlu,Hakan Kuşçuoğlu,986,10
108784345527387,Hamza Buldu,Hamza Buldu,986,2
112192125157541,Ercan Öztürk,Ercan Öztürk,986,9
213380598742595,Selahattin Demirtaş,Ragıp Incesağır,986,13
246776586058174,Eyyup Yıldız,Eyyup Yıldız,986,3
119377904457065,Kayseri Bağımsız Milletvekili Adayı Emre Çakmakçi,Emre Çakmakçi,986,3
105372312520215,Levent Yenilmez - Şanlıurfa Bağımsız Milletvekili Adayı,Levent Yenilmez,986,6
116356958083849,Prof. Dr. Abdurrahman BAKIR,Mehmet Gazi Arslan,986,1
117756791242075,Arif Ataman - Artvin Bağımsız Milletvekili Adayı,Arif Ataman,986,5
127443153589651,Hasan Demir,Hasan Demir,986,2
117508271301281,Av. Cemil Yavuz Aksu,Tasarım Medya Reklam,976,17
103331031478719,Rıfat T. Nalbantoğlu,Rıfat T. Nalbantoğlu,975,4
105377837597506,Gonya TV,Osman Avci,972,1
839363442860590,Dr. Mustafa Canbey,Mustafa Canbey,964,8
503207923065874,45 HABER,Deniz Guner,961,6
116851311391526,Erkan Sarmaşık,Erkan Sarmaşık,944,21
2641298465896629,Muhammet Gür,Muhammet Gür,943,2
121496655382974,Burak Akburak,Burak Akburak,928,5
107233182319799,Hatice Yıldız,Ramazan Savaş,927,6
107672922316658,Mehmet Bağlar,Mesut Tugrul,927,5
900888546749086,Hüseyin Avni AKSOY,Hüseyin Avni Aksoy,926,2
1256361374466644,Osman Zabun,Osman Zabun,924,9
103965639335616,Var mısın Antalya?,Faruk Islek,920,2
102759276133977,Sema Silkin Ün,Sema Silkin Ün,896,14
103015499438790,Ahmet karkucak,Ahmet Karkucak,890,9
118738861159955,Ömer Keskin,Ömer Keskin,879,4
714161348691623,Türker Yörükçüoğlu,Türker Yörükçüoğlu,874,28
1028368393892777,Mehmet Ali Özkan,Mehmet Ali ÖZKAN,861,24
118280211237745,BBP Cengiz Bayar,Cengiz Bayar,856,4
115647918164842,İbrahim Arslan,İbrahim Arslan,856,1
104039202681868,Anıl Denizci,Kazım Sadıkoğlu,844,1
120679647668758,Trabzon - Millet İttifakı Cumhurbaşkanlığı Seçim Koordinasyon Merkezi,İlker Akinci,843,1
111743906915630,Ekrem Gökay Yüksel,Ekrem Gökay Yüksel,841,1
101579449561816,Harun ALGÜL,Harun Algül,833,14
439268549551900,Ulaş Karasu,Ulaş Karasu,833,16
1538797929729690,Erkan Dönmez,Erkan Dönmez,829,4
117332004664282,Ali Selman IŞIK Niğde Millet Vekili,Ali Selman Işik,806,9
459314071262613,Zeynettin Aydın,Zeynettin Aydın,797,4
461639080653445,Ayhan Gider,Ayhan Gider,788,5
476701376080948,Tamer Osmanağaoğlu,Tamer Osmanağaoğlu,788,2
254110651270938,Mustafa DESTİCİ,Mustafa DESTİCİ,769,2
118835537839543,Ruken Şahin Kilerci,Opinion Dijital Medya Ajansı,764,2
109797878715416,Av. Mustafa ABAK,Ali Çakmakcı,748,2
111328568600829,Ahmet Örnekbaş,Ahmet Örnekbaş,740,3
