Location name,Amount spent (PKR)
Azad Kashmir,679
Balochistan,1255
Federally Administered Tribal Areas,193
Gilgit-Baltistan,337
Islamabad Capital Territory,1586
Khyber Pakhtunkhwa,4825
Punjab,43272
Sindh,10162
Unknown,≤100
