Location name,Amount spent (RON)
Alba County,724
Arad County,1057
Argeș County,1077
Bacău County,1232
Bihor County,1005
Bistrița-Năsăud County,1431
Botoșani County,802
Brașov County,1448
Brăila County,639
Bucharest,4067
Buzău County,825
Caraș-Severin County,498
Cluj County,1506
Constanța County,1305
Covasna County,402
Călărași County,484
Dolj County,1978
Dâmbovița County,781
Galați County,1088
Giurgiu County,394
Gorj County,879
Harghita County,688
Hunedoara County,1011
Ialomița County,371
Iași County,2402
Ilfov County,663
Maramureș County,1057
Mehedinți County,507
Mureș County,1118
Neamț County,968
Olt County,640
Prahova County,1511
Satu Mare County,755
Sibiu County,799
Suceava County,1154
Sălaj County,502
Teleorman County,474
Timiș County,1340
Tulcea County,346
Unknown,≤100
Vaslui County,711
Vrancea County,931
Vâlcea County,902
