Location name,Amount spent (EGP)
Al Sharqia Governorate,3509
Alexandria Governorate,4866
Aswan Governorate,562
Asyut Governorate,1185
Beheira Governorate,1963
Beni Suef Governorate,839
Cairo Governorate,9905
Dakahlia Governorate,4313
Damietta Governorate,1131
Faiyum Governorate,882
Gharbia Governorate,2916
Giza Governorate,3039
Ismailia Governorate,929
Kafr el-Sheikh Governorate,1697
Luxor Governorate,366
Matrouh Governorate,170
Minya Governorate,1276
Monufia Governorate,1997
New Valley Governorate,141
North Sinai Governorate,275
Port Said Governorate,680
Qalyubia Governorate,2425
Qena Governorate,886
Red Sea Governorate,369
Sohag Governorate,1459
South Sinai Governorate,156
Suez Governorate,555
Unknown,≤100
