Location name,Amount spent (HUF)
Baranya County,87547
Borsod-Abaúj-Zemplén County,108725
Budapest,720373
Bács-Kiskun County,93763
Békés County,71175
Csongrád County,98569
Fejér County,94182
Győr-Moson-Sopron County,88644
Hajdú-Bihar County,133466
Heves County,61112
Jász-Nagykun-Szolnok County,75579
Komárom-Esztergom County,130455
Nógrád County,35101
Pest County,240818
Somogy County,57673
Szabolcs-Szatmár-Bereg County,86691
Tolna County,41157
Unknown,105
Vas County,58003
Veszprém County,64657
Zala County,51021
